url_length,https,subdomain_count,has_ip,hyphen_count,digit_ratio,path_length,has_at_symbol,brand_keyword_count,label
50,1,3,0,0,0.0,24,0,0,0
49,1,2,0,0,0.0,29,0,0,0
43,1,2,0,0,0.0,6,0,0,0
23,1,2,0,0,0.071,1,0,0,0
47,1,2,0,0,0.0,15,0,0,0
92,1,2,0,0,0.176,67,0,0,0
77,1,4,0,0,0.0,34,0,0,0
65,1,3,0,0,0.0,32,0,0,0
65,1,2,0,0,0.0,22,0,0,0
57,1,2,0,0,0.0,24,0,0,0
98,1,2,0,0,0.0,74,0,0,0
43,1,2,0,0,0.0,6,0,0,0
56,1,2,0,0,0.0,33,0,0,0
28,1,2,0,0,0.0,1,0,0,0
75,1,2,0,0,0.0,47,0,0,0
34,1,2,0,0,0.0,1,0,0,0
67,1,2,0,0,0.0,45,0,1,0
43,1,2,0,0,0.0,9,0,0,0
29,1,2,0,0,0.0,1,0,0,0
114,1,2,0,0,0.0,82,0,0,0
41,1,2,0,0,0.0,13,0,0,0
66,1,2,0,0,0.0,45,0,0,0
65,1,2,0,0,0.0,38,0,0,0
55,1,2,0,0,0.0,36,0,0,0
41,1,2,0,0,0.0,16,0,0,0
45,1,2,0,0,0.05,17,0,0,0
104,1,2,0,0,0.0,18,0,0,0
42,1,2,0,0,0.133,19,0,0,0
100,1,2,0,0,0.0,15,0,0,0
29,1,2,0,0,0.0,1,0,0,0
40,1,2,0,0,0.176,15,0,0,0
57,1,2,0,0,0.0,34,0,0,0
52,1,2,0,0,0.0,25,0,0,0
109,1,2,0,0,0.0,85,0,0,0
34,1,2,0,0,0.0,1,0,0,0
77,1,2,0,0,0.0,45,0,0,0
56,1,4,0,0,0.0,15,0,0,0
53,1,2,0,0,0.0,17,0,0,0
52,1,2,0,0,0.0,25,0,0,0
35,1,2,0,0,0.0,6,0,0,0
48,1,3,0,0,0.0,25,0,0,0
43,1,2,0,0,0.0,6,0,0,0
39,1,2,0,0,0.0,15,0,0,0
49,1,3,0,0,0.0,20,0,0,0
43,1,2,0,0,0.0,10,0,0,0
53,1,2,0,0,0.0,29,0,0,0
37,1,2,0,0,0.0,12,0,0,0
38,1,2,0,0,0.0,1,0,0,0
44,1,2,0,0,0.0,24,0,0,0
43,1,2,0,0,0.0,6,0,0,0
115,1,2,0,0,0.0,81,0,0,0
77,1,2,0,0,0.0,52,0,0,0
36,1,2,0,0,0.0,13,0,0,0
69,1,2,0,0,0.0,42,0,0,0
43,1,2,0,0,0.0,6,0,0,0
49,1,2,0,0,0.0,20,0,0,0
36,1,2,0,0,0.059,11,0,0,0
43,1,2,0,0,0.0,6,0,0,0
30,1,2,0,1,0.0,1,0,0,0
40,1,2,0,0,0.0,8,0,0,0
50,1,3,0,0,0.0,1,0,0,0
73,1,2,0,0,0.0,22,0,0,0
22,1,2,0,0,0.0,1,0,0,0
49,1,2,0,0,0.0,20,0,0,0
69,1,2,0,0,0.0,49,0,0,0
21,1,2,0,0,0.0,1,0,0,0
43,1,2,0,0,0.0,6,0,0,0
37,1,2,0,0,0.0,1,0,0,0
70,1,2,0,0,0.067,47,0,0,0
44,1,3,0,0,0.0,12,0,0,0
46,1,3,0,1,0.0,16,0,0,0
37,1,2,0,0,0.0,15,0,0,0
55,1,2,0,0,0.0,32,0,0,0
99,1,2,0,1,0.0,73,0,0,0
46,1,3,0,0,0.0,19,0,0,0
78,1,2,0,0,0.0,13,0,0,0
82,1,3,0,0,0.0,53,0,0,0
33,1,2,0,0,0.0,1,0,0,0
42,1,2,0,0,0.0,11,0,0,0
32,1,3,0,0,0.0,1,0,0,0
121,1,2,0,0,0.0,99,0,0,0
37,1,2,0,0,0.0,1,0,1,0
37,1,2,0,0,0.0,19,0,0,0
110,1,2,0,0,0.0,83,0,0,0
21,1,2,0,0,0.0,1,0,0,0
61,1,2,0,2,0.0,28,0,0,0
21,1,2,0,0,0.0,0,0,0,0
62,1,2,0,0,0.0,19,0,0,0
71,1,2,0,0,0.0,49,0,0,0
83,1,2,0,0,0.0,57,0,0,0
41,1,2,0,0,0.0,14,0,0,0
36,1,2,0,0,0.0,1,0,0,0
46,1,2,0,0,0.0,26,0,0,0
43,1,2,0,0,0.0,6,0,0,0
81,1,3,0,0,0.0,57,0,1,0
43,1,2,0,0,0.0,20,0,0,0
67,1,2,0,0,0.0,40,0,0,0
106,1,2,0,0,0.0,77,0,0,0
21,1,2,0,0,0.0,0,0,0,0
82,1,2,0,0,0.0,58,0,0,0
44,1,2,0,0,0.188,20,0,0,0
115,1,3,0,0,0.0,62,0,0,0
78,1,2,0,0,0.0,47,0,0,0
58,1,2,0,1,0.0,24,0,0,0
44,1,3,0,0,0.0,1,0,0,0
71,1,2,0,0,0.0,34,0,0,0
56,1,2,0,0,0.0,37,0,0,0
47,1,2,0,0,0.0,22,0,0,0
61,1,3,0,0,0.0,33,0,0,0
54,1,2,0,0,0.0,17,0,0,0
63,1,3,0,0,0.0,1,0,0,0
63,1,2,0,0,0.0,30,0,0,0
38,1,2,0,0,0.0,15,0,0,0
67,1,2,0,0,0.0,42,0,0,0
34,1,2,0,0,0.0,14,0,0,0
39,1,2,0,0,0.0,13,0,0,0
26,1,2,0,0,0.0,1,0,0,0
37,1,3,0,0,0.143,1,0,0,0
83,1,3,0,0,0.0,47,0,0,0
35,1,4,0,0,0.0,1,0,0,0
75,1,2,0,0,0.0,55,0,0,0
59,1,2,0,0,0.0,32,0,0,0
49,1,3,0,0,0.0,17,0,0,0
69,1,2,0,0,0.0,49,0,0,0
110,1,2,0,0,0.0,24,0,0,0
33,1,2,0,0,0.0,1,0,0,0
37,1,3,0,1,0.0,1,0,0,0
55,1,2,0,0,0.0,31,0,0,0
79,1,2,0,0,0.0,22,0,0,0
41,1,2,0,0,0.0,1,0,0,0
36,1,2,0,0,0.0,13,0,0,0
68,1,2,0,1,0.0,18,0,0,0
79,1,2,0,0,0.0,45,0,0,0
48,1,2,0,0,0.0,26,0,0,0
41,1,3,0,0,0.0,14,0,0,0
36,1,2,0,0,0.0,13,0,0,0
43,1,2,0,0,0.0,6,0,0,0
59,1,2,0,0,0.0,40,0,0,0
46,1,2,0,0,0.0,21,0,0,0
66,1,2,0,0,0.0,44,0,0,0
37,1,2,0,0,0.0,12,0,0,0
35,1,2,0,0,0.0,13,0,0,0
60,1,2,0,3,0.0,21,0,0,0
29,1,2,0,0,0.0,1,0,0,0
56,1,2,0,0,0.0,28,0,0,0
59,1,2,0,0,0.0,34,0,0,0
36,1,2,0,0,0.0,16,0,0,0
73,1,2,0,0,0.0,48,0,0,0
51,1,2,0,0,0.0,25,0,0,0
54,1,2,0,0,0.0,35,0,0,0
57,1,2,0,0,0.0,36,0,0,0
38,1,2,0,0,0.0,12,0,0,0
204,1,3,0,0,0.0,169,0,0,0
46,1,2,0,0,0.0,26,0,0,0
39,1,2,0,0,0.0,10,0,0,0
77,1,4,0,0,0.0,34,0,0,0
123,1,3,0,0,0.0,85,0,1,0
58,1,2,0,0,0.071,36,0,0,0
47,1,3,0,0,0.0,15,0,0,0
73,1,2,0,0,0.0,14,0,0,0
35,1,2,0,0,0.0,1,0,0,0
72,1,2,0,0,0.0,48,0,0,0
94,1,2,0,0,0.0,67,0,0,0
57,1,2,0,0,0.0,33,0,0,0
43,1,2,0,0,0.0,17,0,0,0
47,1,2,0,0,0.0,25,0,1,0
37,1,3,0,0,0.0,14,0,0,0
37,1,2,0,0,0.0,14,0,0,0
43,1,2,0,0,0.0,6,0,0,0
62,1,2,0,0,0.0,25,0,0,0
46,1,2,0,0,0.0,25,0,0,0
138,1,2,0,0,0.0,1,0,0,0
44,1,2,0,0,0.0,23,0,0,0
58,1,2,0,0,0.0,39,0,0,0
58,1,2,0,0,0.0,36,0,0,0
69,1,3,0,0,0.0,41,0,0,0
73,1,4,0,0,0.0,15,0,0,0
39,1,2,0,0,0.0,1,0,0,0
110,1,2,0,0,0.0,83,0,0,0
73,1,2,0,0,0.0,45,0,0,0
123,1,2,0,0,0.0,99,0,0,0
67,1,2,0,0,0.0,46,0,0,0
64,1,2,0,0,0.0,35,0,0,0
130,1,2,0,0,0.0,101,0,0,0
36,1,3,0,0,0.0,8,0,0,0
45,1,2,0,0,0.2,22,0,0,0
47,1,2,0,0,0.0,29,0,0,0
40,1,2,0,0,0.0,19,0,0,0
58,1,2,0,0,0.0,25,0,0,0
47,1,2,0,0,0.0,13,0,0,0
75,1,3,0,0,0.0,19,0,0,0
30,1,2,0,0,0.0,1,0,0,0
69,1,2,0,0,0.0,41,0,0,0
42,1,3,0,0,0.0,9,0,0,0
48,1,2,0,0,0.0,11,0,0,0
69,1,2,0,0,0.0,45,0,0,0
28,1,2,0,0,0.0,1,0,0,0
65,1,3,0,0,0.0,36,0,0,0
37,1,2,0,0,0.0,17,0,0,0
19,1,2,0,0,0.0,1,0,0,0
58,1,2,0,0,0.0,27,0,0,0
27,1,2,0,0,0.0,1,0,0,0
24,1,3,0,0,0.0,1,0,0,0
44,1,2,0,0,0.0,24,0,0,0
39,1,2,0,0,0.0,1,0,0,0
96,1,3,0,0,0.0,60,0,0,0
27,1,2,0,0,0.0,1,0,0,0
77,1,3,0,0,0.0,49,0,0,0
99,1,2,0,0,0.0,71,0,0,0
44,1,3,0,0,0.0,16,0,0,0
39,1,3,0,0,0.0,11,0,0,0
80,1,2,0,0,0.0,58,0,0,0
69,1,2,0,0,0.0,34,0,0,0
104,1,3,0,0,0.0,78,0,0,0
49,1,2,0,0,0.0,26,0,0,0
27,1,2,0,0,0.0,9,0,0,0
27,1,3,0,0,0.0,1,0,0,0
47,1,2,0,1,0.0,16,0,0,0
94,1,4,0,0,0.0,58,0,0,0
60,1,2,0,0,0.0,37,0,0,0
25,1,2,0,0,0.0,1,0,0,0
62,1,2,0,0,0.0,35,0,0,0
93,1,3,0,0,0.0,60,0,0,0
39,1,2,0,0,0.0,17,0,0,0
52,1,2,0,0,0.0,26,0,0,0
63,1,3,0,0,0.0,35,0,0,0
53,1,3,0,0,0.0,20,0,0,0
108,1,3,0,0,0.0,76,0,0,0
110,1,2,0,0,0.0,81,0,0,0
40,1,3,0,0,0.0,8,0,0,0
38,1,2,0,0,0.0,16,0,0,0
30,1,2,0,0,0.0,9,0,0,0
60,1,2,0,1,0.0,26,0,0,0
77,1,2,0,0,0.0,55,0,0,0
87,1,2,0,0,0.0,63,0,0,0
107,1,2,0,0,0.0,80,0,0,0
100,1,3,0,0,0.0,58,0,0,0
27,1,2,0,0,0.0,9,0,0,0
42,1,2,0,0,0.0,18,0,0,0
56,1,2,0,0,0.0,32,0,0,0
49,1,2,0,0,0.0,23,0,0,0
125,1,2,0,1,0.0,88,0,0,0
33,1,2,0,0,0.0,10,0,0,0
64,1,2,0,1,0.0,37,0,0,0
53,1,3,0,0,0.0,25,0,0,0
52,1,3,0,0,0.0,24,0,0,0
58,1,3,0,0,0.0,30,0,0,0
83,1,3,0,0,0.0,51,0,0,0
91,1,2,0,0,0.0,71,0,0,0
41,1,2,0,0,0.0,17,0,0,0
36,1,2,0,0,0.0,14,0,0,0
46,1,2,0,0,0.0,25,0,0,0
80,1,3,0,0,0.0,54,0,0,0
65,1,2,0,0,0.0,31,0,0,0
51,1,3,0,0,0.0,18,0,0,0
73,1,4,0,0,0.0,15,0,0,0
27,1,2,0,0,0.0,1,0,0,0
46,1,2,0,0,0.0,23,0,0,0
56,1,2,0,0,0.0,32,0,0,0
33,1,3,0,0,0.0,1,0,0,0
71,1,2,0,0,0.0,45,0,0,0
53,1,2,0,0,0.0,24,0,0,0
81,1,2,0,0,0.0,55,0,0,0
101,1,2,0,0,0.0,63,0,0,0
30,1,2,0,0,0.0,6,0,0,0
53,1,2,0,0,0.0,27,0,0,0
22,1,2,0,0,0.0,1,0,0,0
33,1,2,0,0,0.0,1,0,0,0
33,1,2,0,0,0.0,10,0,0,0
64,1,2,0,0,0.0,42,0,1,0
33,1,2,0,0,0.0,1,0,0,0
43,1,2,0,0,0.0,6,0,0,0
92,1,3,0,0,0.0,55,0,0,0
130,1,2,0,0,0.0,103,0,0,0
67,1,2,0,0,0.0,34,0,0,0
68,1,2,0,0,0.0,35,0,0,0
39,1,2,0,0,0.0,15,0,0,0
42,1,2,0,0,0.0,10,0,0,0
43,1,2,0,0,0.0,6,0,0,0
40,1,2,0,0,0.0,18,0,0,0
60,1,2,0,0,0.0,10,0,0,0
41,1,3,0,0,0.0,13,0,0,0
52,1,2,0,0,0.0,23,0,0,0
50,1,2,0,0,0.0,10,0,0,0
49,1,2,0,0,0.0,28,0,0,0
88,1,3,0,0,0.0,52,0,0,0
29,1,2,0,0,0.167,9,0,0,0
83,1,2,0,0,0.0,47,0,0,0
39,1,2,0,0,0.0,1,0,0,0
57,1,2,0,0,0.0,35,0,0,0
53,1,3,0,0,0.0,21,0,0,0
67,1,2,0,0,0.0,31,0,0,0
72,1,3,0,0,0.0,48,0,0,0
61,1,2,0,0,0.0,39,0,1,0
66,1,3,0,0,0.0,12,0,0,0
39,1,2,0,0,0.0,15,0,0,0
50,1,2,0,0,0.0,28,0,1,0
57,1,2,0,0,0.0,34,0,0,0
82,1,5,0,0,0.0,29,0,0,0
38,1,3,0,0,0.0,1,0,0,0
51,1,2,0,0,0.0,2,0,0,0
44,1,2,0,0,0.0,21,0,0,0
96,1,2,0,0,0.0,12,0,0,0
43,1,2,0,0,0.0,6,0,0,0
37,1,2,0,1,0.0,12,0,0,0
58,1,2,0,0,0.0,27,0,0,0
32,1,2,0,0,0.0,1,0,0,0
49,1,2,0,0,0.0,28,0,0,0
62,1,3,0,0,0.0,36,0,0,0
26,1,2,0,0,0.0,1,0,0,0
27,1,2,0,1,0.0,1,0,0,0
53,1,2,0,0,0.0,11,0,0,0
51,1,2,0,0,0.0,27,0,0,0
62,1,2,0,0,0.0,36,0,0,0
123,1,2,0,0,0.0,91,0,0,0
86,1,2,0,0,0.0,56,0,0,0
60,1,3,0,0,0.0,32,0,0,0
32,1,2,0,0,0.0,1,0,0,0
60,1,2,0,0,0.0,17,0,0,0
33,1,3,0,0,0.0,1,0,0,0
42,1,3,0,0,0.121,1,0,0,0
36,1,3,0,0,0.0,1,0,0,0
41,1,2,0,0,0.0,16,0,0,0
64,1,4,0,0,0.0,34,0,0,0
41,1,3,0,0,0.0,1,0,0,0
54,1,3,0,0,0.0,8,0,0,0
50,1,2,0,0,0.0,17,0,0,0
46,1,3,0,0,0.0,18,0,0,0
32,1,2,0,0,0.0,1,0,0,0
68,1,2,0,0,0.0,47,0,0,0
37,1,2,0,0,0.0,1,0,0,0
41,1,2,0,1,0.0,1,0,0,0
101,1,3,0,0,0.0,66,0,0,0
50,1,3,0,0,0.0,22,0,0,0
45,1,3,0,0,0.0,11,0,0,0
44,1,2,0,0,0.0,12,0,0,0
62,1,2,0,0,0.0,25,0,0,0
52,1,2,0,0,0.0,26,0,0,0
92,1,2,0,0,0.0,68,0,0,0
66,1,2,0,0,0.0,43,0,0,0
82,1,2,0,0,0.0,49,0,0,0
79,1,2,0,0,0.0,18,0,0,0
107,1,3,0,0,0.0,20,0,0,0
51,1,2,0,0,0.0,17,0,0,0
40,1,2,0,0,0.0,8,0,0,0
71,1,2,0,0,0.0,41,0,0,0
75,1,2,0,0,0.0,45,0,0,0
53,1,2,0,0,0.0,31,0,1,0
49,1,2,0,0,0.0,29,0,0,0
104,1,2,0,0,0.0,37,0,0,0
68,1,2,0,0,0.0,21,0,0,0
67,1,4,0,0,0.0,30,0,0,0
41,1,2,0,0,0.0,18,0,0,0
44,1,2,0,0,0.273,25,0,0,0
23,1,2,0,0,0.071,1,0,0,0
39,1,2,0,0,0.0,15,0,0,0
96,1,2,0,0,0.0,71,0,0,0
35,1,2,0,0,0.0,12,0,0,0
33,1,2,0,0,0.0,15,0,0,0
59,1,2,0,0,0.0,29,0,0,0
49,1,3,0,0,0.0,21,0,0,0
62,1,2,0,0,0.0,17,0,0,0
60,1,2,0,0,0.0,26,0,0,0
45,1,3,0,0,0.0,14,0,0,0
44,1,2,0,0,0.0,15,0,0,0
74,1,2,0,0,0.0,44,0,0,0
73,1,3,0,0,0.0,40,0,0,0
43,1,2,0,0,0.0,18,0,0,0
61,1,2,0,0,0.0,35,0,0,0
53,1,2,0,0,0.0,29,0,0,0
28,1,2,0,0,0.0,1,0,0,0
43,1,2,0,0,0.0,18,0,0,0
47,1,2,0,0,0.0,27,0,0,0
38,1,2,0,0,0.0,14,0,0,0
57,1,3,0,0,0.0,30,0,0,0
50,1,2,0,0,0.0,30,0,0,0
70,1,2,0,0,0.0,45,0,0,0
51,1,2,0,0,0.0,28,0,0,0
48,1,2,0,0,0.0,23,0,0,0
45,1,2,0,0,0.0,20,0,0,0
31,1,2,0,0,0.0,1,0,0,0
86,1,2,0,0,0.0,60,0,0,0
35,1,2,0,0,0.0,1,0,0,0
49,1,2,0,0,0.0,20,0,0,0
135,1,2,0,0,0.0,112,0,0,0
35,1,2,0,0,0.0,1,0,0,0
56,1,2,0,0,0.0,23,0,0,0
62,1,2,0,0,0.0,10,0,0,0
75,1,2,0,1,0.0,40,0,0,0
45,1,2,0,0,0.0,17,0,0,0
57,1,3,0,0,0.0,10,0,0,0
50,1,2,0,0,0.0,14,0,0,0
115,1,2,0,0,0.0,85,0,0,0
58,1,2,0,0,0.0,34,0,0,0
47,1,3,0,0,0.0,14,0,0,0
38,1,3,0,0,0.0,1,0,0,0
68,1,2,0,0,0.0,47,0,0,0
89,1,3,0,0,0.0,61,0,0,0
43,1,2,0,2,0.0,7,0,0,0
32,1,2,0,0,0.0,1,0,0,0
43,1,2,0,0,0.0,6,0,0,0
57,1,2,0,0,0.0,33,0,0,0
50,1,3,0,0,0.0,22,0,0,0
50,1,2,0,0,0.0,30,0,0,0
48,1,3,0,0,0.0,16,0,0,0
33,1,2,0,0,0.0,8,0,0,0
59,1,2,0,0,0.0,37,0,0,0
26,1,2,0,0,0.0,1,0,0,0
22,1,2,0,0,0.0,1,0,0,0
49,1,2,0,0,0.0,29,0,0,0
34,1,2,0,0,0.0,12,0,0,0
93,1,2,0,0,0.0,73,0,0,0
49,1,2,0,0,0.0,21,0,0,0
39,1,2,0,0,0.0,19,0,0,0
60,1,2,0,0,0.0,30,0,0,0
72,1,2,0,0,0.0,14,0,0,0
29,1,2,0,0,0.0,1,0,0,0
128,1,2,0,0,0.118,103,0,0,0
121,1,2,0,0,0.0,95,0,0,0
62,1,3,0,0,0.0,29,0,0,0
52,1,2,0,0,0.0,23,0,0,0
110,1,2,0,0,0.0,87,0,0,0
34,1,3,0,0,0.0,1,0,0,0
81,1,3,0,1,0.0,44,0,0,0
46,1,2,0,0,0.0,11,0,0,0
84,1,3,0,0,0.0,49,0,0,0
50,1,2,0,0,0.0,24,0,0,0
87,1,2,0,0,0.0,53,0,0,0
62,1,2,0,2,0.0,20,0,0,0
34,1,2,0,0,0.0,12,0,0,0
96,1,2,0,0,0.0,66,0,0,0
77,1,2,0,0,0.0,52,0,0,0
67,1,2,0,0,0.0,43,0,0,0
42,1,2,0,0,0.0,12,0,0,0
35,1,2,0,0,0.0,1,0,0,0
100,1,2,0,0,0.0,66,0,0,0
71,1,2,0,0,0.0,44,0,0,0
44,1,3,0,0,0.0,23,0,0,0
19,1,2,0,0,0.0,1,0,0,0
45,1,2,0,0,0.0,21,0,0,0
53,1,2,0,0,0.0,19,0,0,0
23,1,2,0,0,0.0,1,0,0,0
52,1,3,0,0,0.0,24,0,0,0
35,1,2,0,0,0.0,13,0,0,0
71,1,2,0,0,0.0,48,0,0,0
31,1,2,0,1,0.0,1,0,0,0
121,1,2,0,0,0.043,42,0,0,0
64,1,2,0,0,0.0,46,0,0,0
53,1,2,0,0,0.0,29,0,0,0
53,1,3,0,0,0.0,15,0,0,0
58,1,2,0,0,0.0,11,0,0,0
34,1,3,0,0,0.04,1,0,0,0
47,1,3,0,0,0.0,19,0,0,0
24,1,2,0,0,0.0,0,0,0,0
74,1,3,0,0,0.0,1,0,0,0
26,1,2,0,0,0.0,1,0,0,0
34,1,2,0,0,0.0,1,0,0,0
50,1,2,0,0,0.0,26,0,0,0
46,1,3,0,0,0.0,1,0,0,0
275,1,2,0,0,0.0,12,0,0,0
67,1,2,0,0,0.0,21,0,0,0
33,1,2,0,0,0.0,1,0,0,0
43,1,2,0,0,0.0,21,0,0,0
65,1,2,0,0,0.0,44,0,0,0
81,1,3,0,0,0.0,50,0,0,0
64,1,3,0,0,0.0,13,0,0,0
77,1,3,0,0,0.0,54,0,0,0
103,1,3,0,0,0.0,70,0,0,0
52,1,2,0,0,0.0,20,0,0,0
54,1,2,0,0,0.0,32,0,1,0
66,1,2,0,0,0.0,37,0,0,0
45,1,3,0,0,0.0,1,0,0,0
44,1,2,0,0,0.0,26,0,0,0
35,1,2,0,0,0.0,1,0,0,0
50,1,3,0,0,0.0,22,0,0,0
170,1,3,0,1,0.0,140,0,0,0
38,1,2,0,0,0.0,1,0,0,0
69,1,2,0,0,0.0,47,0,1,0
93,1,2,0,0,0.0,38,0,0,0
49,1,2,0,0,0.0,25,0,0,0
35,1,2,0,0,0.0,11,0,0,0
47,1,2,0,0,0.0,22,0,0,0
33,1,2,0,0,0.0,1,0,0,0
79,1,2,0,0,0.0,42,0,0,0
37,1,2,0,0,0.0,18,0,0,0
50,1,3,0,0,0.0,22,0,0,0
82,1,2,0,0,0.0,56,0,0,0
58,1,2,0,0,0.0,36,0,1,0
30,1,2,0,0,0.0,1,0,0,0
61,1,3,0,0,0.0,33,0,0,0
84,1,2,0,0,0.105,17,0,0,0
48,1,2,0,0,0.0,17,0,0,0
100,1,3,0,0,0.0,77,0,0,0
38,1,3,0,0,0.0,11,0,0,0
74,1,2,0,0,0.0,44,0,0,0
70,1,3,0,0,0.0,28,0,0,0
101,1,2,0,0,0.0,78,0,0,0
24,1,2,0,0,0.267,1,0,0,0
89,1,2,0,0,0.0,14,0,0,0
57,1,2,0,0,0.0,37,0,0,0
60,1,3,0,0,0.0,32,0,0,0
81,1,3,0,0,0.0,51,0,0,0
63,1,3,0,0,0.0,35,0,0,0
63,1,2,0,1,0.0,19,0,0,0
35,1,3,0,0,0.0,1,0,0,0
47,1,3,0,0,0.0,1,0,0,0
41,1,3,0,0,0.0,1,0,0,0
29,1,4,0,0,0.0,1,0,0,0
55,1,3,0,0,0.0,28,0,0,0
43,1,3,0,2,0.0,1,0,0,0
75,1,2,0,0,0.0,45,0,0,0
61,1,2,0,0,0.0,38,0,0,0
56,1,2,0,0,0.0,32,0,0,0
45,1,2,0,0,0.0,12,0,0,0
64,1,2,0,0,0.0,23,0,0,0
29,1,2,0,0,0.0,1,0,0,0
103,1,3,0,0,0.0,69,0,0,0
46,1,2,0,0,0.0,24,0,0,0
78,1,2,0,0,0.0,10,0,0,0
46,1,3,0,0,0.0,1,0,0,0
40,1,2,0,0,0.0,17,0,0,0
70,1,2,0,0,0.0,42,0,0,0
55,1,2,0,0,0.0,32,0,0,0
33,1,2,0,0,0.0,11,0,0,0
60,1,2,0,0,0.0,28,0,0,0
63,1,2,0,0,0.0,25,0,0,0
85,1,2,0,0,0.0,15,0,0,0
32,1,2,0,0,0.0,1,0,0,0
54,1,2,0,0,0.0,30,0,0,0
40,1,3,0,0,0.0,8,0,0,0
54,1,2,0,0,0.0,36,0,0,0
48,1,3,0,0,0.0,23,0,0,0
85,1,2,0,1,0.0,58,0,0,0
55,1,2,0,0,0.0,24,0,0,0
73,1,2,0,0,0.0,50,0,0,0
61,1,2,0,0,0.0,32,0,0,0
44,1,4,0,0,0.0,16,0,0,0
25,1,3,0,0,0.0,0,0,0,0
77,1,2,0,0,0.2,54,0,0,0
109,1,3,0,0,0.0,79,0,0,0
47,1,2,0,0,0.0,1,0,0,0
34,1,2,0,0,0.0,1,0,0,0
64,1,2,0,0,0.0,41,0,0,0
34,1,2,0,0,0.0,6,0,0,0
41,1,3,0,0,0.0,13,0,0,0
33,1,2,0,0,0.0,11,0,0,0
60,1,2,0,0,0.0,28,0,0,0
81,1,3,0,1,0.0,39,0,0,0
124,1,2,0,0,0.0,93,0,0,0
78,1,3,0,0,0.0,44,0,0,0
33,1,2,0,0,0.0,10,0,0,0
57,1,2,0,0,0.0,24,0,0,0
36,1,2,0,0,0.0,16,0,0,0
71,1,2,0,0,0.0,38,0,0,0
72,1,2,0,0,0.0,2,0,1,0
67,1,3,0,0,0.0,39,0,0,0
169,1,3,0,0,0.0,138,0,0,0
39,1,2,0,0,0.0,14,0,0,0
37,1,2,0,0,0.0,1,0,0,0
41,1,2,0,0,0.0,19,0,0,0
62,1,2,0,0,0.0,38,0,0,0
66,1,2,0,0,0.0,21,0,0,0
39,1,2,0,0,0.0,19,0,0,0
45,1,2,0,0,0.0,14,0,0,0
48,1,2,0,0,0.0,19,0,0,0
36,1,3,0,0,0.0,1,0,0,0
81,1,3,0,0,0.0,47,0,0,0
49,1,2,0,0,0.0,25,0,0,0
52,1,3,0,2,0.0,16,0,0,0
47,1,2,0,0,0.0,21,0,0,0
108,1,3,0,0,0.0,77,0,0,0
76,1,2,0,0,0.0,16,0,0,0
55,1,2,0,0,0.0,19,0,0,0
69,1,2,0,0,0.0,43,0,0,0
34,1,2,0,0,0.0,14,0,0,0
57,1,2,0,2,0.0,18,0,0,0
81,1,2,0,0,0.0,10,0,0,0
32,1,2,0,0,0.0,1,0,0,0
58,1,3,0,0,0.0,30,0,0,0
29,1,2,0,1,0.0,1,0,0,0
49,1,2,0,0,0.0,28,0,0,0
39,1,2,0,0,0.0,17,0,0,0
74,1,2,0,0,0.0,52,0,0,0
42,1,3,0,0,0.0,21,0,0,0
53,1,3,0,0,0.0,17,0,0,0
64,1,2,0,0,0.0,40,0,0,0
37,1,2,0,0,0.0,14,0,0,0
95,1,3,0,1,0.0,59,0,0,0
52,1,2,0,0,0.0,31,0,0,0
23,1,2,0,0,0.0,0,0,0,0
65,1,2,0,0,0.0,41,0,0,0
63,1,2,0,0,0.0,36,0,0,0
185,1,3,0,0,0.0,160,0,0,0
109,1,2,0,0,0.0,80,0,0,0
46,1,2,0,0,0.0,15,0,0,0
86,1,3,0,0,0.0,59,0,0,0
51,1,2,0,0,0.0,29,0,0,0
100,1,3,0,0,0.0,74,0,0,0
65,1,2,0,0,0.0,42,0,0,0
66,1,2,0,0,0.0,42,0,0,0
61,1,2,0,0,0.0,38,0,0,0
47,1,3,0,0,0.0,19,0,0,0
62,1,3,0,0,0.0,34,0,0,0
45,1,2,0,0,0.0,26,0,0,0
41,1,3,0,0,0.0,1,0,0,0
54,1,2,0,0,0.0,11,0,0,0
41,1,2,0,0,0.0,20,0,0,0
64,1,3,0,0,0.0,36,0,0,0
68,1,2,0,0,0.0,44,0,0,0
51,1,2,0,0,0.0,27,0,0,0
64,1,2,0,0,0.0,15,0,0,0
89,1,3,0,0,0.0,62,0,0,0
48,1,2,0,0,0.0,17,0,0,0
43,1,2,0,1,0.0,11,0,0,0
55,1,2,0,1,0.0,21,0,0,0
50,1,2,0,0,0.0,25,0,0,0
32,1,3,0,0,0.0,1,0,0,0
80,1,3,0,0,0.0,44,0,0,0
105,1,2,0,0,0.0,79,0,0,0
56,1,2,0,0,0.0,30,0,0,0
65,1,2,0,0,0.0,40,0,0,0
54,1,3,0,0,0.0,18,0,0,0
60,1,2,0,0,0.0,36,0,0,0
67,1,3,0,0,0.0,28,0,0,0
56,1,2,0,0,0.0,35,0,0,0
91,1,2,0,0,0.0,68,0,0,0
57,1,2,0,0,0.0,35,0,1,0
39,1,2,0,0,0.0,11,0,0,0
53,1,2,0,0,0.0,22,0,0,0
42,1,2,0,0,0.0,21,0,0,0
49,1,2,0,0,0.0,15,0,0,0
73,1,2,0,0,0.0,23,0,0,0
46,1,2,0,0,0.0,26,0,0,0
